G:004F CY:0050 J:8CC3 8CC3 8CC3 8105 M:3380 3380 3380 3380 G:00 00 01
F:0299 PC:008033 P:B4 V:00 80 00 80 YX:FDFF WP:008125 CG:004F CY:0050 J:1BBF 1BE7 1BE9 1CBD M:1977 199F 1A13 1A5F G:00 00 00
F:029A PC:0083BA P:34 V:80 00 80 00 YX:FDFF WP:008125 CG:0050 CY:0051 J:9791 9828 98E5 99C8 M:3300 3300 92B1 9803 G:00 00 03
F:029B PC:0098F6 P:34 V:80 00 80 00 YX:FDFF WP:008125 CG:0050 CY:0051 J:880F 880F 880F 8105 M:92B1 9803 3300 3300 G:00 00 01
F:029C PC:008033 P:F4 V:80 00 80 00 YX:FDFF WP:008125 CG:0050 CY:0051 J:9C12 9C38 9E7F 9E7F M:9803 3300 3300 3300 G:00 00 00
F:029D PC:0083BA P:34 V:00 80 00 80 YX:FDFF WP:008125 CG:0051 CY:0052 J:9E7F 8105 184E 1A13 M:3300 3380 3380 1088 G:00 00 03
F:029E PC:0018F6 P:34 V:00 80 00 80 YX:FDFF WP:008125 CG:0051 CY:0052 J:8C14 8C14 8C14 8105 M:3380 1088 3380 3380 G:00 00 01
F:029F PC:008033 P:B4 V:00 80 00 80 YX:FDFF WP:008125 CG:0051 CY:0052 J:1C83 1E2F 1E7F 1EF3 M:3380 3380 1B7B 1E2F G:00 00 00
F:02A0 PC:0083BA P:34 V:80 00 80 00 YX:FDFF WP:008125 CG:0052 CY:0053 J:9791 9828 984E 9874 M:1B7B 1E2F 3300 3300 G:00 00 03
F:02A1 PC:0098F6 P:34 V:80 00 80 00 YX:FDFF WP:008125 CG:0052 CY:0053 J:880F 880F 880F 8105 M:3300 3300 3300 3300 G:00 00 01
F:02A2 PC:008033 P:B4 V:80 00 80 00 YX:FDFF WP:008125 CG:0052 CY:0053 J:9E2F 9E2F 9E7F 9E7F M:3300 3300 3300 9E2F G:00 00 00
F:02A3 PC:0083BA P:34 V:00 80 00 80 YX:FDFF WP:008125 CG:0053 CY:0054 J:176C 184E 189A 19A2 M:14DB 15ED 16B7 184E G:00 00 03
F:02A4 PC:0017B1 P:34 V:00 80 00 80 YX:FDFF WP:008125 CG:0053 CY:0054 J:8B86 8B86 8B86 8105 M:16B7 184E 3380 3380 G:00 00 01
F:02A5 PC:008033 P:F4 V:00 80 00 80 YX:FDFF WP:008125 CG:0053 CY:0054 J:18A4 1986 1B76 1C92 M:3380 3380 3380 1986 G:00 00 00
F:02A6 PC:008385 P:B4 V:80 00 80 00 YX:FDFF WP:008125 CG:0054 CY:0055 J:94E3 9508 95F7 9C05 M:955B 95A4 9640 9668 G:00 00 03
F:02A7 PC:00953A P:34 V:80 00 80 00 YX:FDFF WP:008125 CG:0054 CY:0055 J:8907 8907 89F4 8105 M:9668 3300 89F4 3300 G:00 00 01
F:02A8 PC:008033 P:B4 V:80 00 80 00 YX:FDFF WP:008125 CG:0054 CY:0055 J:973C 9762 9787 9A31 M:981E 98B5 98DB 9E75 G:00 00 00
F:02A9 PC:0083BA P:34 V:00 80 00 80 YX:FDFF WP:008125 CG:0055 CY:0056 J:9A31 8105 17B7 17DD M:3380 14DB 15ED 1746 G:00 00 03
F:02AA PC:0018F6 P:34 V:00 80 00 80 YX:FDFF WP:008125 CG:0055 CY:0056 J:8C14 8C14 8C14 8105 M:1746 3380 18F9 3380 G:00 00 01
F:02AB PC:008033 P:B4 V:00 80 00 80 YX:FDFF WP:008125 CG:0055 CY:0056 J:1D47 1DBB 1DBB 1ECB M:18F9 3380 3380 19B6 G:00 00 00
F:02AC PC:0083BA P:34 V:80 00 80 00 YX:FDFF WP:008125 CG:0056 CY:0057 J:97B7 984E 989A 99C8 M:19B6 3300 3300 984E G:00 00 03
F:02AD PC:0098F6 P:34 V:80 00 80 00 YX:FDFF WP:008125 CG:0056 CY:0057 J:880F 880F 880F 8105 M:3300 984E 3300 3300 G:00 00 01
F:02AE PC:008033 P:F4 V:80 00 80 00 YX:FDFF WP:008125 CG:0056 CY:0057 J:9E57 9E57 9E7F 9E7F M:99DC 9D1F 9DBB 9DE3 G:00 00 00
